"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-12","0.00","73","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-13","0.00","75","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-14","0.00","76","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-15","0.00","78","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-16","0.00","78","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-17","0.00","78","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-18","0.00","77","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-21","0.00","84","100",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-23","0.00","79","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-25","0.00","80","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-27","0.00","83","98",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-28","0.00","83","97",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-29","0.00","86","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-30","0.00","79","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-31","0.00","81","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-02","0.00","78",,
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-03","0.00","83","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-04","0.00","84","98",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-06","0.00","85","99",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-07","0.00","86","102",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-08","0.00","87","99",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-11","0.00","88","99",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-12","0.00","87","98",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-14","0.12","75","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-15","0.00","80","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-17","0.00","84","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-18","0.00","79","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-19","0.01","83","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-20","0.00","85","98",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-21","0.00","85","98",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-22","0.00","83","99",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-23","0.00","84","101",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-25","0.00","87","101",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-26","0.00","89","99",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-28","0.00","87","100",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-29","0.04","76",,
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-04-30",,"79","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-05-02","0.04","80","93",
